,species,BirdID_char,Trait,cycle_length,Photoperiod,deviation,cyclenr_char,Reference
1,Calidris canutus,k183,spring body mass,364,12:12 LD,-1,1,Karagicheva et al 2016
2,Calidris canutus,k183,moult autumn,364,12:12 LD,-1,1,Karagicheva et al 2016
3,Calidris canutus,k183,moult wing,399,12:12 LD,34,1,Karagicheva et al 2016
4,Calidris canutus,k183,moult spring,294,12:12 LD,-71,1,Karagicheva et al 2016
5,Calidris canutus,k189,spring body mass,392,12:12 LD,27,1,Karagicheva et al 2016
6,Calidris canutus,k218,spring body mass,371,12:12 LD,6,1,Karagicheva et al 2016
7,Calidris canutus,k220,spring body mass,364,12:12 LD,-1,1,Karagicheva et al 2016
8,Calidris canutus,k236,spring body mass,393,12:12 LD,28,1,Karagicheva et al 2016
9,Calidris canutus,k277,spring body mass,385,12:12 LD,20,1,Karagicheva et al 2016
10,Calidris canutus,k281,spring body mass,406,12:12 LD,41,1,Karagicheva et al 2016
11,Calidris canutus,k161,spring body mass,357,12:12 LD,-8,1,Karagicheva et al 2016
12,Calidris canutus,k178,spring body mass,364,12:12 LD,-1,1,Karagicheva et al 2016
13,Calidris canutus,k192,spring body mass,350,12:12 LD,-15,1,Karagicheva et al 2016
14,Calidris canutus,k213,spring body mass,365,12:12 LD,0,1,Karagicheva et al 2016
15,Calidris canutus,k226,spring body mass,357,12:12 LD,-8,1,Karagicheva et al 2016
16,Calidris canutus,k295,spring body mass,351,12:12 LD,-14,1,Karagicheva et al 2016
17,Calidris canutus,k385,spring body mass,427,12:12 LD,62,1,Karagicheva et al 2016
18,Calidris canutus,k218,moult autumn,406,12:12 LD,41,1,Karagicheva et al 2016
19,Calidris canutus,k220,moult autumn,385,12:12 LD,20,1,Karagicheva et al 2016
20,Calidris canutus,k236,moult autumn,392,12:12 LD,27,1,Karagicheva et al 2016
21,Calidris canutus,k277,moult autumn,378,12:12 LD,13,1,Karagicheva et al 2016
22,Calidris canutus,k161,moult autumn,378,12:12 LD,13,1,Karagicheva et al 2016
23,Calidris canutus,k178,moult autumn,364,12:12 LD,-1,1,Karagicheva et al 2016
24,Calidris canutus,k226,moult autumn,378,12:12 LD,13,1,Karagicheva et al 2016
25,Calidris canutus,k295,moult autumn,364,12:12 LD,-1,1,Karagicheva et al 2016
26,Calidris canutus,k385,moult autumn,350,12:12 LD,-15,1,Karagicheva et al 2016
27,Calidris canutus,k189,moult spring,350,12:12 LD,-15,1,Karagicheva et al 2016
28,Calidris canutus,k218,moult spring,385,12:12 LD,20,1,Karagicheva et al 2016
29,Calidris canutus,k220,moult spring,343,12:12 LD,-22,1,Karagicheva et al 2016
30,Calidris canutus,k236,moult spring,364,12:12 LD,-1,1,Karagicheva et al 2016
31,Calidris canutus,k277,moult spring,308,12:12 LD,-57,1,Karagicheva et al 2016
32,Calidris canutus,k161,moult spring,350,12:12 LD,-15,1,Karagicheva et al 2016
33,Calidris canutus,k178,moult spring,343,12:12 LD,-22,1,Karagicheva et al 2016
34,Calidris canutus,k226,moult spring,322,12:12 LD,-43,1,Karagicheva et al 2016
35,Calidris canutus,k295,moult spring,343,12:12 LD,-22,1,Karagicheva et al 2016
36,Calidris canutus,k385,moult spring,371,12:12 LD,6,1,Karagicheva et al 2016
37,Calidris canutus,k218,moult wing,399,12:12 LD,34,1,Karagicheva et al 2016
38,Calidris canutus,k220,moult wing,399,12:12 LD,34,1,Karagicheva et al 2016
39,Calidris canutus,k236,moult wing,392,12:12 LD,27,1,Karagicheva et al 2016
40,Calidris canutus,k277,moult wing,539,12:12 LD,174,1,Karagicheva et al 2016
41,Calidris canutus,k281,moult wing,420,12:12 LD,55,1,Karagicheva et al 2016
42,Calidris canutus,k161,moult wing,406,12:12 LD,41,1,Karagicheva et al 2016
43,Calidris canutus,k178,moult wing,399,12:12 LD,34,1,Karagicheva et al 2016
44,Calidris canutus,k213,moult wing,448,12:12 LD,83,1,Karagicheva et al 2016
45,Calidris canutus,k226,moult wing,392,12:12 LD,27,1,Karagicheva et al 2016
46,Calidris canutus,k295,moult wing,378,12:12 LD,13,1,Karagicheva et al 2016
47,Calidris canutus,k385,moult wing,406,12:12 LD,41,1,Karagicheva et al 2016
48,Calidris canutus,k183,moult spring,336,12:12 LD,-29,0,Karagicheva et al 2016
49,Calidris canutus,k189,moult spring,350,12:12 LD,-15,0,Karagicheva et al 2016
50,Calidris canutus,k218,moult spring,336,12:12 LD,-29,0,Karagicheva et al 2016
51,Calidris canutus,k220,moult spring,308,12:12 LD,-57,0,Karagicheva et al 2016
52,Calidris canutus,k236,moult spring,315,12:12 LD,-50,0,Karagicheva et al 2016
53,Calidris canutus,k277,moult spring,343,12:12 LD,-22,0,Karagicheva et al 2016
54,Calidris canutus,k281,moult spring,252,12:12 LD,-113,0,Karagicheva et al 2016
55,Calidris canutus,k161,moult spring,357,12:12 LD,-8,0,Karagicheva et al 2016
56,Calidris canutus,k178,moult spring,357,12:12 LD,-8,0,Karagicheva et al 2016
57,Calidris canutus,k192,moult spring,371,12:12 LD,6,0,Karagicheva et al 2016
58,Calidris canutus,k213,moult spring,349,12:12 LD,-16,0,Karagicheva et al 2016
59,Calidris canutus,k226,moult spring,329,12:12 LD,-36,0,Karagicheva et al 2016
60,Calidris canutus,k295,moult spring,329,12:12 LD,-36,0,Karagicheva et al 2016
61,Calidris canutus,k385,moult spring,336,12:12 LD,-29,0,Karagicheva et al 2016
62,Calidris canutus,k183,moult autumn,343,12:12 LD,-22,0,Karagicheva et al 2016
63,Calidris canutus,k189,moult autumn,406,12:12 LD,41,0,Karagicheva et al 2016
64,Calidris canutus,k218,moult autumn,371,12:12 LD,6,0,Karagicheva et al 2016
