Functional Ecology Functional chronotypes functionally link life histories and life cycles in birds  Karagicheva et al.,,,
Appendix S4 Body mass in migratory birds  ,,,
,species,bodymass,Reference
1,Calidris canutus,130,Piersma et al 1995
2,Calidris tenuirostris,149.3,Battley et al 2001
3,Ficedula albicollis,14.2,Moeller 2008
4,Ficedula hypoleuca,11.6,Moeller 2008
5,Fringilla coelebs,24.2,Moeller 2009
6,Fringilla montifringilla,24.1,McKechnie 2008
7,Junco hyemalis,19.6,Moeller 2008
8,Loxia curvirostra,40.6,Moeller 2009
9,Parus cristatus,11.2,Moeller 2008
10,Passer domesticus,30.35,Moeller 2009
11,Passer montanus,21.7,Moeller 2009
12,Phylloscopus collybita,7.7,Moeller 2009
13,Phylloscopus trochilus,9.35,Moeller 2009
14,Saxicola torquata rubicola,14.9,Moeller 2009
15,Sturnus vulgaris,82.3,Moeller 2008
16,Sylvia atricapilla,18.85,Moeller 2009
17,Sylvia borin,19.05,Moeller 2009
